Plant_ID Year Electricity SO2 NOx Capital Employees Coal_hc Oil_hc Gas_hc CAA
3 85 23301.4739726027 130.355808219178 70.9840547945205 1894164858.894 430 66635.0888528318 48.4416951518548 816.390059559726 0
8 85 19321.2054794521 203.142821917808 63.2537808219178 1785346116.708 511 56989.5452542822 146.236587492769 0 0
470 85 9624.64383561644 37.218301369863 44.3494794520548 922243211.3048 114 28965.0964205584 45.2493185161069 8.54089187424657 0
602 85 7122.04657534247 38.0283287671233 21.5857808219178 1220094398.138 120 20821.1753984055 226.774394984047 0 0
641 85 12122.8493150685 273.070082191781 53.4544657534247 1412740877.702 221 36217.2744932066 59.1370707813699 380.02877890411 0
708 85 13340.3479452055 170.140273972603 61.863397260274 993611221.4336 309 41111.7875841852 55.3128555517808 0 0
709 85 30803.5424657534 266.093150684932 124.100904109589 1641321529.2936 469 82802.3269615649 40.3127591309589 0 0
728 85 18348.0301369863 346.423616438356 60.288 1577182774.3364 454 54007.9085073457 70.7817049857534 0 0
856 85 8192.46575342466 53.2385205479452 34.2950136986301 1021833396.9844 151 23887.2840398186 27.2812601215019 0 0
861 85 10454.5342465753 375.504383561644 88.7657260273973 1215298090.5604 302 33024.1214200422 37.70782781808 0 0
862 85 1264.87726027397 31.5998082191781 6.68016438356164 483356346.7656 104 4123.50415239452 16.2449729031205 0 0
863 85 2305.94821917808 55.4878356164384 12.0955342465753 368624647.9608 93 7102.63558389479 15.206496128857 0 0
864 85 3730.42849315069 87.1219452054794 13.1970684931507 728530500.9136 147 11313.4159589156 103.368723133603 0 0
876 85 13469.0849315068 464.493315068493 122.241671232877 1464758763.2216 341 44670.5614235463 0 68.3049740087671 0
879 85 16867.4849315068 97.0828767123288 84.4634246575342 3099482717.7468 431 54997.7971609594 0 71.1399742465753 0
887 85 17123.8657534247 289.329424657534 57.6233150684931 2009746875.0744 359 52355.7579207014 23.1957909643677 0 0
889 85 29350.0460273973 725.33098630137 183.321835616438 1909750057.8156 264 85643.7089207649 78.8449312767123 0 0
983 85 26784.9726027397 712.602219178082 181.718493150685 1885938894.3472 392 76965.0360991956 11.0072649994521 0 0
988 85 9570.52876712329 177.191753424658 57.9438356164384 1813034597.9592 328 28053.9793100312 175.761828990053 0 0
991 85 1916.58904109589 41.6132328767123 7.2881095890411 614181842.7052 96 6463.16943588493 99.7027542 0 0
994 85 18392.3424657534 229.153369863014 56.7236164383562 1950887725.8332 280 55650.2623326608 113.360665734247 0 0
1004 85 661.808219178082 21.0516438356164 4.3347397260274 360433124.3744 71 2499.24428973918 23.5624266394521 0 0
1008 85 6107.77534246575 166.881506849315 30.1081095890411 792088109.4588 161 18590.2431494126 74.8453552076712 0 0
1012 85 5817.04139726027 166.630082191781 31.5608493150685 550984769.874 87 17891.4191237036 4.66392386465753 12.7878519846575 0
1047 85 3077.86871232877 16.3694520547945 21.7485479452055 519884632.2516 52 9947.4266413189 39.186402969863 0 0
1250 85 3797.87945205479 11.6082739726027 15.8404109589041 630828349.1664 137 13269.9923205014 0 366.191411565753 0
1355 85 8674.73150684932 148.238246575342 30.9098356164384 708036095.1048 132 27426.5579786542 44.8060434095342 0 0
1356 85 17790.2383561644 250.794931506849 64.7006301369863 2164535560.9724 228 55946.9468579441 220.763109715726 0 0
